label,n,p50_ms,p95_ms,p99_ms,max_ms,min_ms,submitted,failed,actual_rate_tpm,collected_at
3node_500tpm,1491,0.0,1000.0,1000.0,1000.0,0.0,998,0,499.0,2026-04-20T08:20:47.120481+00:00
3node_1000tpm,3986,0.0,1000.0,1000.0,128000.0,0.0,1996,0,998.0,2026-04-20T08:25:22.477351+00:00
