label,n,p50_ms,p95_ms,p99_ms,max_ms,min_ms,submitted,failed,actual_rate_tpm,collected_at
5node_100tpm,184,45077000.0,45162000.0,45170000.0,45177000.0,44416000.0,199,0,99.5,2026-04-21T07:49:35.665936+00:00
5node_500tpm,1007,44904000.0,44943000.0,44954000.0,44962000.0,44850000.0,998,0,499.0,2026-04-21T07:49:40.452262+00:00
5node_1000tpm,2014,44727000.0,44758000.0,44766000.0,44772000.0,44675000.0,1996,0,998.0,2026-04-21T07:49:44.966809+00:00
