label,n,p50_ms,p95_ms,p99_ms,max_ms,min_ms,submitted,failed,actual_rate_tpm,collected_at
5node_100tpm,201,0.0,1000.0,1000.0,1000.0,0.0,199,0,99.5,2026-04-21T08:49:21.090526+00:00
5node_500tpm,1003,0.0,1000.0,1000.0,1000.0,0.0,998,0,499.0,2026-04-21T08:53:24.597760+00:00
5node_1000tpm,2013,0.0,1000.0,1000.0,1000.0,0.0,1996,0,998.0,2026-04-21T08:57:29.350468+00:00
