label,n,p50_ms,p95_ms,p99_ms,max_ms,min_ms,submitted,failed,actual_rate_tpm,collected_at
5node_100tpm,3986,0.0,1000.0,1000.0,128000.0,0.0,199,0,99.5,2026-04-20T18:06:41.979857+00:00
5node_500tpm,3986,0.0,1000.0,1000.0,128000.0,0.0,998,0,499.0,2026-04-20T18:06:44.931305+00:00
5node_1000tpm,3986,0.0,1000.0,1000.0,128000.0,0.0,1996,0,998.0,2026-04-20T18:06:47.601993+00:00
